"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CXCL2",0,2.43029608327138,0.844,0.305,0,"0","CXCL2"
"PTX3",0,2.32672405766886,0.429,0.09,0,"0","PTX3"
"CXCL8",0,2.3250354664305,0.797,0.28,0,"0","CXCL8"
"CXCL1",0,2.05804933702179,0.752,0.265,0,"0","CXCL1"
"CXCL3",0,1.98527779743813,0.635,0.163,0,"0","CXCL3"
"CCL2",0,1.97441110666728,0.627,0.18,0,"0","CCL2"
"PTGS2",0,1.88261041520059,0.889,0.359,0,"0","PTGS2"
"ID3",0,1.84580441428705,0.693,0.405,0,"0","ID3"
"G0S2",0,1.83180988833436,0.669,0.189,0,"0","G0S2"
"TIMP1",0,1.74664257823009,0.925,0.533,0,"0","TIMP1"
"IER3",0,1.73604452871948,0.952,0.692,0,"0","IER3"
"SAA1",0,1.72287661067428,0.8,0.294,0,"0","SAA1"
"DCN",0,1.71702375711018,0.942,0.49,0,"0","DCN"
"APOD",0,1.70196021149931,0.922,0.417,0,"0","APOD"
"NNMT",0,1.69893949813334,0.883,0.297,0,"0","NNMT"
"HMOX1",0,1.62250366666326,0.651,0.28,0,"0","HMOX1"
"VIM",0,1.60761893867673,0.956,0.461,0,"0","VIM"
"LUM",0,1.5571058541088,0.852,0.299,0,"0","LUM"
"HSPA6",0,1.55337958888353,0.311,0.113,0,"0","HSPA6"
"CTSL",0,1.54578546256932,0.883,0.457,0,"0","CTSL"
"MMP3",0,1.54343246630375,0.544,0.228,0,"0","MMP3"
"MT2A",0,1.53686306245293,0.969,0.696,0,"0","MT2A"
"PLIN2",0,1.53226418861345,0.736,0.257,0,"0","PLIN2"
"AKR1C2",0,1.51535183253591,0.766,0.358,0,"0","AKR1C2"
"SOD2",0,1.5071633571355,0.909,0.499,0,"0","SOD2"
"RARRES1",0,1.50134686685588,0.745,0.242,0,"0","RARRES1"
"IFITM3",0,1.47271570806546,0.896,0.493,0,"0","IFITM3"
"KERA",0,1.46614362577499,0.625,0.195,0,"0","KERA"
"IRF1",0,1.44372941996048,0.668,0.346,0,"0","IRF1"
"SOD3",0,1.4336616984894,0.884,0.327,0,"0","SOD3"
"PTGDS",0,1.42891111109294,0.909,0.416,0,"0","PTGDS"
"TNFAIP6",0,1.40586098134628,0.535,0.155,0,"0","TNFAIP6"
"FTL",0,1.40435095493256,0.988,0.782,0,"0","FTL"
"HSP90AB1",0,1.39947029157731,0.977,0.735,0,"0","HSP90AB1"
"EMP3",0,1.39718223293069,0.903,0.416,0,"0","EMP3"
"GADD45B",0,1.37512402175618,0.632,0.528,0,"0","GADD45B"
"DNAJA1",0,1.36254356878655,0.916,0.622,0,"0","DNAJA1"
"STEAP4",0,1.36074817614725,0.631,0.216,0,"0","STEAP4"
"HSPA1A",0,1.35189284289852,0.82,0.492,0,"0","HSPA1A"
"WTAP",0,1.31562347427047,0.85,0.591,0,"0","WTAP"
"SERPINE2",0,1.29585463630538,0.785,0.269,0,"0","SERPINE2"
"MT1M",0,1.28256366164325,0.629,0.24,0,"0","MT1M"
"EIF1B",0,1.27956738711304,0.89,0.579,0,"0","EIF1B"
"CYR61",0,1.2792297522986,0.465,0.192,0,"0","CYR61"
"HSPD1",0,1.24822930860649,0.859,0.586,0,"0","HSPD1"
"HSPA8",0,1.24106085423016,0.848,0.554,0,"0","HSPA8"
"AKR1C1",0,1.22982277389362,0.729,0.366,0,"0","AKR1C1"
"HSPA1B",0,1.22629191729458,0.672,0.412,0,"0","HSPA1B"
"UBB",0,1.22511957381582,0.957,0.684,0,"0","UBB"
"TIPARP",0,1.22342833281977,0.802,0.513,0,"0","TIPARP"
"ANXA5",0,1.22239989780964,0.936,0.501,0,"0","ANXA5"
"HSPE1",0,1.20703545165666,0.909,0.597,0,"0","HSPE1"
"IFITM2",0,1.2023736781862,0.785,0.288,0,"0","IFITM2"
"CST3",0,1.19431183205597,0.96,0.744,0,"0","CST3"
"SELENOM",0,1.19235184940564,0.93,0.425,0,"0","SELENOM"
"DNAJB4",0,1.18861382206132,0.514,0.258,0,"0","DNAJB4"
"TNFRSF11B",0,1.18175946117659,0.626,0.183,0,"0","TNFRSF11B"
"SERPINF1",0,1.18065691894292,0.823,0.444,0,"0","SERPINF1"
"FAM107B",0,1.18008496667957,0.798,0.409,0,"0","FAM107B"
"HTRA1",0,1.17294605285398,0.757,0.485,0,"0","HTRA1"
"THBS1",0,1.16896805560825,0.745,0.417,0,"0","THBS1"
"DDIT3",0,1.16662723717428,0.761,0.401,0,"0","DDIT3"
"ITGBL1",0,1.16605299863898,0.727,0.269,0,"0","ITGBL1"
"LUCAT1",0,1.16169061850959,0.484,0.131,0,"0","LUCAT1"
"CEBPD",0,1.14809148237669,0.893,0.626,0,"0","CEBPD"
"NFKBIA",0,1.14365319173139,0.897,0.652,0,"0","NFKBIA"
"HSPH1",0,1.13902472223994,0.75,0.49,0,"0","HSPH1"
"IL32",0,1.13655687264227,0.497,0.148,0,"0","IL32"
"MT1E",0,1.13328642947684,0.789,0.472,0,"0","MT1E"
"PNRC1",0,1.13299439955684,0.933,0.655,0,"0","PNRC1"
"MTHFD2L",0,1.13119574727856,0.643,0.304,0,"0","MTHFD2L"
"CCK",0,1.12111493854107,0.635,0.206,0,"0","CCK"
"DNAJB1",0,1.11921401174287,0.736,0.591,0,"0","DNAJB1"
"THBS4",0,1.10673699024763,0.673,0.225,0,"0","THBS4"
"HSP90AA1",0,1.09868608807863,0.973,0.79,0,"0","HSP90AA1"
"ANGPTL7",0,1.07318549917681,0.618,0.282,0,"0","ANGPTL7"
"SDCBP",0,1.07244163010344,0.916,0.581,0,"0","SDCBP"
"MMP1",0,1.0709622654901,0.367,0.149,0,"0","MMP1"
"CYTL1",0,1.06139727253002,0.5,0.151,0,"0","CYTL1"
"ICAM1",0,1.05110282449097,0.631,0.169,0,"0","ICAM1"
"CD163L1",0,1.04686660223777,0.457,0.113,0,"0","CD163L1"
"IGFBP4",0,1.04210229591893,0.761,0.297,0,"0","IGFBP4"
"MT1A",0,1.03770598917215,0.477,0.145,0,"0","MT1A"
"LGALS1",0,1.03064980793001,0.929,0.423,0,"0","LGALS1"
"SNHG12",0,1.02453348691837,0.605,0.285,0,"0","SNHG12"
"PPP1R15A",0,1.02256125610149,0.909,0.646,0,"0","PPP1R15A"
"ID2",0,1.02230971377897,0.64,0.281,0,"0","ID2"
"GRP",0,1.0134367209762,0.623,0.187,0,"0","GRP"
"CYP1B1",0,1.01070289144163,0.488,0.172,0,"0","CYP1B1"
"UBE2S",0,1.0082853243871,0.806,0.397,0,"0","UBE2S"
"PPP1R10",0,1.00388385691604,0.631,0.379,0,"0","PPP1R10"
"TSC22D1",0,1.00243419543341,0.834,0.576,0,"0","TSC22D1"
"PGRMC1",0,0.999485590589734,0.852,0.462,0,"0","PGRMC1"
"ZFAND2A",0,0.995936151177628,0.632,0.285,0,"0","ZFAND2A"
"MRPL18",0,0.993192118097967,0.685,0.422,0,"0","MRPL18"
"COL12A1",0,0.984996877160972,0.827,0.338,0,"0","COL12A1"
"TWIST1",0,0.984941910119871,0.716,0.243,0,"0","TWIST1"
"IFI27",0,0.982556811346423,0.704,0.369,0,"0","IFI27"
"SERPING1",0,0.981476283784119,0.854,0.312,0,"0","SERPING1"
"MAP1LC3B",0,0.979114541156803,0.892,0.621,0,"0","MAP1LC3B"
"TNFAIP2",0,0.962108860732085,0.586,0.195,0,"0","TNFAIP2"
"DYNLL1",0,0.960786050734709,0.898,0.662,0,"0","DYNLL1"
"IFITM1",0,0.95765916925336,0.54,0.171,0,"0","IFITM1"
"PLAC9",0,0.952819635567006,0.698,0.254,0,"0","PLAC9"
"SBDS",0,0.950548794667673,0.915,0.623,0,"0","SBDS"
"CYTOR",0,0.934826739573473,0.595,0.259,0,"0","CYTOR"
"NMB",0,0.920590445598219,0.388,0.151,0,"0","NMB"
"MME",0,0.916164936153977,0.708,0.227,0,"0","MME"
"CDC42EP3",0,0.91050713509869,0.575,0.204,0,"0","CDC42EP3"
"UAP1",0,0.904416924850594,0.754,0.405,0,"0","UAP1"
"SLC3A2",0,0.904200429755149,0.901,0.589,0,"0","SLC3A2"
"HSPA5",0,0.902392708248228,0.928,0.693,0,"0","HSPA5"
"NFKBIZ",0,0.900444030990164,0.657,0.445,0,"0","NFKBIZ"
"ZEB1",0,0.890757672650741,0.527,0.188,0,"0","ZEB1"
"GADD45A",0,0.880664489911523,0.657,0.439,0,"0","GADD45A"
"SLC39A14",0,0.880349722831498,0.723,0.321,0,"0","SLC39A14"
"C2orf40",0,0.861921024165018,0.477,0.133,0,"0","C2orf40"
"TCEAL9",0,0.861536158402817,0.721,0.382,0,"0","TCEAL9"
"UBC",0,0.85954759717077,0.981,0.862,0,"0","UBC"
"SELENOP",0,0.855747817228529,0.699,0.309,0,"0","SELENOP"
"DAB2",0,0.854531657627693,0.679,0.217,0,"0","DAB2"
"H2AFZ",0,0.850983491932698,0.898,0.541,0,"0","H2AFZ"
"IGFBP6",0,0.846980452101821,0.833,0.621,0,"0","IGFBP6"
"CHORDC1",0,0.844993063139,0.606,0.287,0,"0","CHORDC1"
"COL6A2",0,0.844538973790877,0.845,0.308,0,"0","COL6A2"
"IFRD1",0,0.839553269764358,0.749,0.407,0,"0","IFRD1"
"TNFRSF12A",0,0.838363075938702,0.703,0.461,0,"0","TNFRSF12A"
"FAM3C",0,0.835023914394575,0.793,0.414,0,"0","FAM3C"
"EIF5",0,0.831983765103645,0.868,0.648,0,"0","EIF5"
"FGFR1",0,0.830601001406409,0.756,0.287,0,"0","FGFR1"
"RSRC2",0,0.82425618316827,0.795,0.638,0,"0","RSRC2"
"PDPN",0,0.820299874306169,0.561,0.209,0,"0","PDPN"
"SNHG8",0,0.820269206150748,0.785,0.54,0,"0","SNHG8"
"CTGF",0,0.806976701875009,0.339,0.111,0,"0","CTGF"
"CPED1",0,0.806009697799805,0.382,0.113,0,"0","CPED1"
"EIF4A3",0,0.803671980469114,0.717,0.463,0,"0","EIF4A3"
"RBM8A",0,0.803071834483027,0.89,0.534,0,"0","RBM8A"
"AHR",0,0.799382418674809,0.691,0.332,0,"0","AHR"
"PRRX1",0,0.79876837806489,0.77,0.276,0,"0","PRRX1"
"CFH",0,0.790580702813972,0.755,0.3,0,"0","CFH"
"LIF",0,0.788223522062656,0.288,0.086,0,"0","LIF"
"C1R",0,0.785491915781312,0.627,0.24,0,"0","C1R"
"GSTO1",0,0.772474879085788,0.817,0.544,0,"0","GSTO1"
"CDC42EP2",0,0.770959175142811,0.521,0.151,0,"0","CDC42EP2"
"CRABP2",0,0.768428683954131,0.582,0.254,0,"0","CRABP2"
"FXYD5",0,0.767002847867655,0.736,0.295,0,"0","FXYD5"
"PPIB",0,0.766264057545554,0.887,0.579,0,"0","PPIB"
"BAG3",0,0.758605010156446,0.646,0.386,0,"0","BAG3"
"AHSA1",0,0.756626918289715,0.657,0.37,0,"0","AHSA1"
"NRP2",0,0.75638392427634,0.649,0.329,0,"0","NRP2"
"CLIC4",0,0.754806425869627,0.651,0.241,0,"0","CLIC4"
"NTN4",0,0.754633244037479,0.497,0.172,0,"0","NTN4"
"EGR1",0,0.752244180768475,0.738,0.549,0,"0","EGR1"
"ARF4",0,0.751109098671681,0.878,0.644,0,"0","ARF4"
"XBP1",0,0.750403532786493,0.774,0.477,0,"0","XBP1"
"SQSTM1",0,0.7503725183089,0.934,0.785,0,"0","SQSTM1"
"KCNQ1OT1",0,0.744967663791075,0.524,0.312,0,"0","KCNQ1OT1"
"PMP22",0,0.743887309766904,0.751,0.327,0,"0","PMP22"
"ZFP91",0,0.742669004392477,0.54,0.278,0,"0","ZFP91"
"HERPUD1",0,0.741947018430971,0.834,0.626,0,"0","HERPUD1"
"CCDC71L",0,0.740787954668242,0.416,0.16,0,"0","CCDC71L"
"CD63",0,0.738693222633655,0.965,0.723,0,"0","CD63"
"TSPYL2",0,0.735784400831404,0.649,0.309,0,"0","TSPYL2"
"PLSCR1",0,0.735643217884277,0.532,0.26,0,"0","PLSCR1"
"ARRDC3",0,0.731511858366638,0.626,0.371,0,"0","ARRDC3"
"DNAJB9",0,0.728398220732534,0.674,0.362,0,"0","DNAJB9"
"AEBP1",0,0.725078693160971,0.692,0.234,0,"0","AEBP1"
"SEPT11",0,0.725071450895011,0.519,0.169,0,"0","SEPT11"
"MAFB",0,0.722232665166907,0.571,0.342,0,"0","MAFB"
"HEXIM1",0,0.721928793196229,0.552,0.292,0,"0","HEXIM1"
"LARP6",0,0.721343311971853,0.676,0.231,0,"0","LARP6"
"CKS2",0,0.720472557899208,0.549,0.269,0,"0","CKS2"
"AC016831.1",0,0.718580167681939,0.407,0.11,0,"0","AC016831.1"
"ANPEP",0,0.714072024651962,0.46,0.133,0,"0","ANPEP"
"DNAJA4",0,0.712904477701605,0.336,0.169,0,"0","DNAJA4"
"NUPR1",0,0.709265774770466,0.849,0.52,0,"0","NUPR1"
"CYCS",0,0.707811762101415,0.9,0.632,0,"0","CYCS"
"SERPINE1",0,0.704948716569896,0.39,0.148,0,"0","SERPINE1"
"LOX",0,0.703262116579222,0.495,0.169,0,"0","LOX"
"PNP",0,0.702160551206146,0.641,0.332,0,"0","PNP"
"BNIP3",0,0.701540275189838,0.714,0.293,0,"0","BNIP3"
"MMP2",0,0.69674778998734,0.642,0.211,0,"0","MMP2"
"C6orf62",0,0.695862892327786,0.629,0.368,0,"0","C6orf62"
"TCP1",0,0.695306875418534,0.725,0.493,0,"0","TCP1"
"SSR4",0,0.691795255090975,0.898,0.632,0,"0","SSR4"
"LAPTM4A",0,0.690774734601253,0.92,0.68,0,"0","LAPTM4A"
"LRIF1",0,0.690618447494836,0.588,0.357,0,"0","LRIF1"
"TNFAIP8",0,0.690461061735997,0.395,0.214,0,"0","TNFAIP8"
"H3F3B",0,0.686986010800755,0.96,0.615,0,"0","H3F3B"
"NCL",0,0.686347965572603,0.901,0.643,0,"0","NCL"
"SRP14",0,0.686200399609876,0.956,0.715,0,"0","SRP14"
"COL6A1",0,0.685641943867768,0.757,0.287,0,"0","COL6A1"
"LY6E",0,0.678939447357821,0.675,0.353,0,"0","LY6E"
"MIR22HG",0,0.678348006885732,0.691,0.476,0,"0","MIR22HG"
"HSP90B1",0,0.677160805570383,0.888,0.664,0,"0","HSP90B1"
"NFE2L2",0,0.674116571755899,0.905,0.736,0,"0","NFE2L2"
"FBLN5",0,0.673693139365162,0.525,0.175,0,"0","FBLN5"
"NAMPT",0,0.67223767349348,0.83,0.613,0,"0","NAMPT"
"GSTM3",0,0.669087629502593,0.636,0.249,0,"0","GSTM3"
"NUCB2",0,0.668466006546007,0.671,0.311,0,"0","NUCB2"
"SDF2L1",0,0.665484449848192,0.523,0.343,0,"0","SDF2L1"
"TIMP2",0,0.665361956532464,0.739,0.318,0,"0","TIMP2"
"SEC22B",0,0.664866822069313,0.637,0.323,0,"0","SEC22B"
"IL6",0,0.658871807807682,0.357,0.103,0,"0","IL6"
"SEC61B",0,0.658796707174402,0.882,0.62,0,"0","SEC61B"
"SOD1",0,0.657793376249019,0.901,0.608,0,"0","SOD1"
"SLC39A8",0,0.655694948837664,0.416,0.124,0,"0","SLC39A8"
"NPM1",0,0.65500789342324,0.945,0.712,0,"0","NPM1"
"HNRNPH3",0,0.654587045115053,0.826,0.632,0,"0","HNRNPH3"
"PCF11",0,0.649921653501012,0.543,0.367,0,"0","PCF11"
"PHLDA1",0,0.649115638377111,0.736,0.388,0,"0","PHLDA1"
"JUN",0,0.647433421062972,0.876,0.663,0,"0","JUN"
"VMO1",0,0.645794232930541,0.322,0.095,0,"0","VMO1"
"BIRC3",0,0.644400423296055,0.357,0.203,0,"0","BIRC3"
"CALD1",0,0.639287441601486,0.805,0.43,0,"0","CALD1"
"NKX3-1",0,0.639088540022451,0.345,0.097,0,"0","NKX3-1"
"RAN",0,0.638542214194039,0.921,0.648,0,"0","RAN"
"MYDGF",0,0.637113399515567,0.775,0.471,0,"0","MYDGF"
"GADD45G",0,0.636709769073834,0.347,0.136,0,"0","GADD45G"
"PDGFRA",0,0.633382385517305,0.546,0.175,0,"0","PDGFRA"
"C1S",0,0.633367275227846,0.642,0.256,0,"0","C1S"
"CCNI",0,0.632672643425636,0.89,0.67,0,"0","CCNI"
"SSR3",0,0.630543654901409,0.789,0.517,0,"0","SSR3"
"SAP18",0,0.628566674134115,0.914,0.642,0,"0","SAP18"
"RGCC",0,0.627333076930689,0.324,0.136,0,"0","RGCC"
"TXN",0,0.625011839342033,0.964,0.77,0,"0","TXN"
"ZFP36L2",0,0.624717476156946,0.656,0.466,0,"0","ZFP36L2"
"ECM1",0,0.622226207136224,0.719,0.486,0,"0","ECM1"
"CACYBP",0,0.62167050503466,0.595,0.38,0,"0","CACYBP"
"AKR1B1",0,0.621553400491231,0.619,0.329,0,"0","AKR1B1"
"TMEM70",0,0.61995545111787,0.555,0.254,0,"0","TMEM70"
"TAF7",0,0.618996149512634,0.706,0.51,0,"0","TAF7"
"SEC61G",0,0.61693108111563,0.894,0.642,0,"0","SEC61G"
"TIMP3",0,0.614554689290873,0.696,0.396,0,"0","TIMP3"
"DDX24",0,0.610588087822207,0.871,0.642,0,"0","DDX24"
"MSANTD3",0,0.609896927766685,0.462,0.165,0,"0","MSANTD3"
"RGS16",0,0.607938780662319,0.414,0.153,0,"0","RGS16"
"RPL22L1",0,0.607628322348949,0.795,0.542,0,"0","RPL22L1"
"DDIT4",0,0.607343583481373,0.556,0.328,0,"0","DDIT4"
"HNRNPAB",0,0.606018207048496,0.781,0.509,0,"0","HNRNPAB"
"OLFML3",0,0.605569596374148,0.493,0.152,0,"0","OLFML3"
"AQP1",0,0.603841817751811,0.497,0.153,0,"0","AQP1"
"SDC4",0,0.600802668514858,0.767,0.587,0,"0","SDC4"
"IL6ST",0,0.599270538921506,0.704,0.433,0,"0","IL6ST"
"C9orf3",0,0.598748583111452,0.523,0.252,0,"0","C9orf3"
"FXYD1",0,0.595392383387548,0.512,0.163,0,"0","FXYD1"
"MPC2",0,0.594773966990332,0.704,0.485,0,"0","MPC2"
"PDCD5",0,0.591487728266247,0.789,0.509,0,"0","PDCD5"
"SELENOS",0,0.591236012074562,0.77,0.537,0,"0","SELENOS"
"ELOC",0,0.590902660144245,0.846,0.592,0,"0","ELOC"
"SELENOK",0,0.590570585687046,0.892,0.611,0,"0","SELENOK"
"FERMT2",0,0.589076415387764,0.552,0.18,0,"0","FERMT2"
"FHL1",0,0.587514923368108,0.544,0.205,0,"0","FHL1"
"HNRNPA2B1",0,0.587372608687846,0.931,0.835,0,"0","HNRNPA2B1"
"C12orf57",0,0.587243026951153,0.863,0.562,0,"0","C12orf57"
"CD81",0,0.586258376705447,0.852,0.552,0,"0","CD81"
"KCTD12",0,0.583115956061198,0.453,0.148,0,"0","KCTD12"
"MAFF",0,0.580917281908022,0.728,0.512,0,"0","MAFF"
"NDUFA4L2",0,0.575805900859675,0.631,0.417,0,"0","NDUFA4L2"
"ZFAS1",0,0.575783940813846,0.92,0.749,0,"0","ZFAS1"
"FGF2",0,0.571384923276913,0.42,0.162,0,"0","FGF2"
"PLPP3",0,0.568974680884427,0.677,0.302,0,"0","PLPP3"
"PNRC2",0,0.568656893249113,0.671,0.424,0,"0","PNRC2"
"B2M",0,0.567437548467666,0.982,0.789,0,"0","B2M"
"PDIA3",0,0.564832781785864,0.845,0.616,0,"0","PDIA3"
"EIF1",0,0.56354147078719,0.98,0.844,0,"0","EIF1"
"VASN",0,0.562606167689913,0.49,0.198,0,"0","VASN"
"SPARCL1",0,0.562542879279307,0.459,0.181,0,"0","SPARCL1"
"BDKRB1",0,0.558535718941482,0.273,0.095,0,"0","BDKRB1"
"SEPT7",0,0.558369680093405,0.73,0.414,0,"0","SEPT7"
"RRAD",0,0.558331275572247,0.254,0.112,0,"0","RRAD"
"ANGPTL5",0,0.557815383252332,0.446,0.134,0,"0","ANGPTL5"
"ABI3BP",0,0.55711780961789,0.693,0.362,0,"0","ABI3BP"
"ETS1",0,0.556901844886665,0.428,0.154,0,"0","ETS1"
"BTG3",0,0.555475072743145,0.748,0.506,0,"0","BTG3"
"ABL2",0,0.554363340464841,0.555,0.354,0,"0","ABL2"
"C1QTNF1",0,0.551372366051831,0.265,0.071,0,"0","C1QTNF1"
"FOSL1",0,0.551327188781578,0.683,0.491,0,"0","FOSL1"
"RABAC1",0,0.549698719320848,0.813,0.544,0,"0","RABAC1"
"FN1",0,0.546414062927259,0.469,0.172,0,"0","FN1"
"CD83",0,0.546250540835222,0.361,0.116,0,"0","CD83"
"CYLD",0,0.544312747681829,0.649,0.447,0,"0","CYLD"
"MLF1",0,0.543600597647697,0.573,0.331,0,"0","MLF1"
"ZFAND5",0,0.543530257777064,0.855,0.66,0,"0","ZFAND5"
"GNG11",0,0.5429404222254,0.581,0.216,0,"0","GNG11"
"PTMA",0,0.540741238688622,0.985,0.771,0,"0","PTMA"
"SRSF3",0,0.54014989226668,0.809,0.675,0,"0","SRSF3"
"GLT8D2",0,0.536902298234713,0.457,0.143,0,"0","GLT8D2"
"IER2",0,0.53685576213379,0.882,0.749,0,"0","IER2"
"BZW1",0,0.536597998211387,0.877,0.661,0,"0","BZW1"
"RPL36AL",0,0.536380499604742,0.952,0.705,0,"0","RPL36AL"
"FIBIN",0,0.534226417607377,0.389,0.117,0,"0","FIBIN"
"IFI6",0,0.532369142236301,0.465,0.18,0,"0","IFI6"
"RBBP6",0,0.530075337649855,0.621,0.501,0,"0","RBBP6"
"LACTB",0,0.529542621584174,0.457,0.285,0,"0","LACTB"
"GRPEL1",0,0.527736143615469,0.685,0.397,0,"0","GRPEL1"
"AL078639.1",0,0.527488465659073,0.387,0.115,0,"0","AL078639.1"
"NABP1",0,0.527334002834978,0.477,0.232,0,"0","NABP1"
"CCT4",0,0.526862486142843,0.717,0.512,0,"0","CCT4"
"MYOC",0,0.525910729495053,0.484,0.17,0,"0","MYOC"
"YBX1",0,0.522376365503449,0.952,0.723,0,"0","YBX1"
"F13A1",0,0.520121154623607,0.367,0.11,0,"0","F13A1"
"PLOD2",0,0.519367487936935,0.45,0.171,0,"0","PLOD2"
"GCLM",0,0.517918138394595,0.552,0.281,0,"0","GCLM"
"DAD1",0,0.517418035464964,0.845,0.58,0,"0","DAD1"
"BMPER",0,0.514498567925634,0.321,0.087,0,"0","BMPER"
"GYPC",0,0.513886716781805,0.387,0.15,0,"0","GYPC"
"TIFA",0,0.51374120860456,0.388,0.13,0,"0","TIFA"
"YY1",0,0.513056726236725,0.733,0.533,0,"0","YY1"
"SEC62",0,0.512395029499357,0.867,0.654,0,"0","SEC62"
"AKR1C3",0,0.512026782889278,0.42,0.171,0,"0","AKR1C3"
"RBM7",0,0.509737691037377,0.544,0.292,0,"0","RBM7"
"CTSZ",0,0.509394005042374,0.545,0.233,0,"0","CTSZ"
"RSL24D1",0,0.508794512746642,0.807,0.535,0,"0","RSL24D1"
"BRD2",0,0.508664663276578,0.708,0.541,0,"0","BRD2"
"DDX21",0,0.502743242134696,0.801,0.572,0,"0","DDX21"
"SDC2",0,0.500651444820926,0.518,0.184,0,"0","SDC2"
"IFI16",0,0.499903213666289,0.689,0.494,0,"0","IFI16"
"PELO",0,0.499176050660276,0.481,0.222,0,"0","PELO"
"MAP1B",0,0.498815276142699,0.478,0.162,0,"0","MAP1B"
"OSTC",0,0.498442119657455,0.729,0.485,0,"0","OSTC"
"SNAI1",0,0.497780919236359,0.325,0.103,0,"0","SNAI1"
"CHCHD10",0,0.496650000199047,0.541,0.227,0,"0","CHCHD10"
"AC003991.1",0,0.490548739769986,0.263,0.058,0,"0","AC003991.1"
"PTGES3",0,0.490024499462481,0.888,0.717,0,"0","PTGES3"
"GTF2B",0,0.489099214937513,0.643,0.415,0,"0","GTF2B"
"SLC7A11",0,0.489066003940473,0.507,0.242,0,"0","SLC7A11"
"PSMA7",0,0.48819396126944,0.907,0.67,0,"0","PSMA7"
"ACKR3",0,0.48444562474393,0.372,0.156,0,"0","ACKR3"
"SNHG15",0,0.482243194851281,0.589,0.34,0,"0","SNHG15"
"IRX1",0,0.482047245640053,0.371,0.11,0,"0","IRX1"
"NUFIP2",0,0.480730215894651,0.644,0.486,0,"0","NUFIP2"
"CHCHD2",0,0.480281766611028,0.955,0.738,0,"0","CHCHD2"
"CRNDE",0,0.479689832494933,0.603,0.281,0,"0","CRNDE"
"PSME2",0,0.479077798031665,0.676,0.462,0,"0","PSME2"
"SKP1",0,0.478980368393312,0.952,0.731,0,"0","SKP1"
"DSEL",0,0.478943621869469,0.399,0.148,0,"0","DSEL"
"HLA-E",0,0.476557788224436,0.893,0.666,0,"0","HLA-E"
"DSTN",0,0.475872003734878,0.935,0.736,0,"0","DSTN"
"FMOD",0,0.471635415676046,0.435,0.153,0,"0","FMOD"
"CEBPB",0,0.470751235812362,0.826,0.583,0,"0","CEBPB"
"EDNRB",0,0.470103564505813,0.401,0.171,0,"0","EDNRB"
"EIF3I",0,0.469830169728765,0.75,0.507,0,"0","EIF3I"
"SNU13",0,0.466758293119716,0.839,0.589,0,"0","SNU13"
"MORF4L2",0,0.466670964655021,0.79,0.645,0,"0","MORF4L2"
"CD99",0,0.466517687383301,0.883,0.749,0,"0","CD99"
"MXRA7",0,0.465276952154008,0.639,0.389,0,"0","MXRA7"
"RCN3",0,0.464625039846885,0.484,0.164,0,"0","RCN3"
"PEAK1",0,0.464330027338689,0.478,0.247,0,"0","PEAK1"
"SPTY2D1",0,0.463133030814385,0.498,0.289,0,"0","SPTY2D1"
"SPCS2",0,0.462919143755274,0.833,0.625,0,"0","SPCS2"
"DNAJB6",0,0.461525371553193,0.836,0.719,0,"0","DNAJB6"
"HSPA9",0,0.459823466427917,0.768,0.573,0,"0","HSPA9"
"FHL2",0,0.459718209930417,0.606,0.37,0,"0","FHL2"
"MGLL",0,0.458956168530222,0.432,0.184,0,"0","MGLL"
"ZC3HAV1",0,0.458126996414474,0.395,0.225,0,"0","ZC3HAV1"
"CLDN11",0,0.457321807264884,0.402,0.127,0,"0","CLDN11"
"KDR",0,0.456713619202047,0.445,0.135,0,"0","KDR"
"DNTTIP2",0,0.455782321726558,0.613,0.357,0,"0","DNTTIP2"
"REXO2",0,0.455160701418939,0.713,0.458,0,"0","REXO2"
"HSD11B1",0,0.454716896996653,0.409,0.127,0,"0","HSD11B1"
"COLEC12",0,0.454508618964001,0.606,0.273,0,"0","COLEC12"
"SLC2A3",0,0.454364178232813,0.466,0.182,0,"0","SLC2A3"
"IGFBP2",0,0.454322765598495,0.889,0.633,0,"0","IGFBP2"
"TMBIM6",0,0.453322755049723,0.904,0.702,0,"0","TMBIM6"
"FAM96B",0,0.452926680902837,0.603,0.348,0,"0","FAM96B"
"AMD1",0,0.452875591725912,0.695,0.521,0,"0","AMD1"
"STMN1",0,0.452636157788854,0.437,0.184,0,"0","STMN1"
"SRSF7",0,0.45213263998226,0.802,0.644,0,"0","SRSF7"
"PNPLA8",0,0.451900772699684,0.675,0.467,0,"0","PNPLA8"
"LMAN1",0,0.449850822658704,0.717,0.546,0,"0","LMAN1"
"CTSF",0,0.4488741067203,0.528,0.266,0,"0","CTSF"
"OGFRL1",0,0.44817695857481,0.588,0.312,0,"0","OGFRL1"
"CALU",0,0.447939765129686,0.64,0.393,0,"0","CALU"
"PTGR1",0,0.447640281434037,0.494,0.298,0,"0","PTGR1"
"NOL7",0,0.447242715825799,0.766,0.527,0,"0","NOL7"
"NIFK",0,0.446858872425987,0.589,0.367,0,"0","NIFK"
"CCT2",0,0.446225481935301,0.706,0.458,0,"0","CCT2"
"DEGS1",0,0.445979402672425,0.562,0.266,0,"0","DEGS1"
"SRP19",0,0.445507559382752,0.694,0.462,0,"0","SRP19"
