"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SRGAP2B1",0,0.377573587761428,0.405,0.192,0,"8","SRGAP2B"
"DLG3",0,0.377540013083605,0.329,0.141,0,"8","DLG3"
"TTC23",0,0.377207488053762,0.278,0.092,0,"8","TTC23"
"TBC1D2B",0,0.377103268155068,0.336,0.137,0,"8","TBC1D2B"
"PWWP3A1",0,0.376481754672356,0.369,0.126,0,"8","PWWP3A"
"LINC026141",0,0.375643221986893,0.302,0.096,0,"8","LINC02614"
"ITPK1",0,0.375295010575945,0.294,0.111,0,"8","ITPK1"
"DGCR8",0,0.375281422867357,0.322,0.108,0,"8","DGCR8"
"TET31",0,0.37444516524111,0.442,0.227,0,"8","TET3"
"ARHGAP18",0,0.373869155617754,0.282,0.127,0,"8","ARHGAP18"
"AC106795.11",0,0.373830401793314,0.315,0.079,0,"8","AC106795.1"
"ZNF236",0,0.373344683540787,0.283,0.093,0,"8","ZNF236"
"SH3BP21",0,0.37192780482582,0.339,0.148,0,"8","SH3BP2"
"STAT61",0,0.371681208859271,0.446,0.247,0,"8","STAT6"
"UVSSA1",0,0.371441955119203,0.371,0.156,0,"8","UVSSA"
"AC009120.2",0,0.371234423835755,0.286,0.069,0,"8","AC009120.2"
"ETV4",0,0.37094785218047,0.297,0.112,0,"8","ETV4"
"HMGA1P4",0,0.370350761743553,0.251,0.059,0,"8","HMGA1P4"
"TTC7A",0,0.370305077048951,0.333,0.148,0,"8","TTC7A"
"CERS31",0,0.370275464987962,0.317,0.145,0,"8","CERS3"
"ELP3",0,0.369832076225269,0.297,0.11,0,"8","ELP3"
"MED231",0,0.369803067530756,0.349,0.167,0,"8","MED23"
"MFN2",0,0.36942023731506,0.394,0.2,0,"8","MFN2"
"ZNF37BP",0,0.369196365901683,0.259,0.058,0,"8","ZNF37BP"
"SLC25A271",0,0.369115596134628,0.293,0.082,0,"8","SLC25A27"
"KLHDC1",0,0.367969582905915,0.294,0.103,0,"8","KLHDC1"
"NCOA61",0,0.367437532040757,0.414,0.209,0,"8","NCOA6"
"MIDEAS",0,0.36723302950908,0.341,0.12,0,"8","MIDEAS"
"URB11",0,0.367182770421515,0.342,0.144,0,"8","URB1"
"ITFG2",0,0.367098266489229,0.323,0.123,0,"8","ITFG2"
"NUP214",0,0.367066467065714,0.376,0.185,0,"8","NUP214"
"ALMS1",0,0.366444646163779,0.288,0.095,0,"8","ALMS1"
"TSPAN15",0,0.366207098293838,0.293,0.108,0,"8","TSPAN15"
"EP4001",0,0.365578800237694,0.392,0.192,0,"8","EP400"
"TBCD1",0,0.365040116460823,0.385,0.174,0,"8","TBCD"
"MLPH1",0,0.364876015758602,0.366,0.17,0,"8","MLPH"
"SLC49A4",0,0.364789755587832,0.284,0.097,0,"8","SLC49A4"
"PTK61",0,0.364461105629231,0.47,0.21,0,"8","PTK6"
"AGO42",0,0.364288164019415,0.37,0.15,0,"8","AGO4"
"KIAA15221",0,0.364221106919886,0.491,0.281,0,"8","KIAA1522"
"CFAP70",0,0.363327409736371,0.265,0.077,0,"8","CFAP70"
"NRP1",0,0.362917979682612,0.254,0.099,0,"8","NRP1"
"ULK2",0,0.362809678458637,0.262,0.096,0,"8","ULK2"
"KIF16B",0,0.362793665625478,0.326,0.148,0,"8","KIF16B"
"TSGA10",0,0.362444623264839,0.281,0.119,0,"8","TSGA10"
"LENG81",0,0.362238576551393,0.437,0.222,0,"8","LENG8"
"APPL2",0,0.362228395051575,0.366,0.187,0,"8","APPL2"
"PI4K2B",0,0.361852994830776,0.32,0.135,0,"8","PI4K2B"
"EEFSEC",0,0.361459657716646,0.274,0.099,0,"8","EEFSEC"
"GRTP11",0,0.361303069252279,0.334,0.154,0,"8","GRTP1"
"ANKRD36B1",0,0.360523371284776,0.307,0.076,0,"8","ANKRD36B"
"IGSF9",0,0.36031350838713,0.251,0.062,0,"8","IGSF9"
"FAM118A1",0,0.359649615113105,0.348,0.165,0,"8","FAM118A"
"DGCR21",0,0.359511505387517,0.419,0.22,0,"8","DGCR2"
"MIR3936HG",0,0.359447942021478,0.272,0.068,0,"8","MIR3936HG"
"RAP2C-AS1",0,0.359183366283459,0.253,0.09,0,"8","RAP2C-AS1"
"MKNK11",0,0.358892902009441,0.406,0.218,0,"8","MKNK1"
